LocationCode,Room,Building,Capacity,SeatsMax
BCC 200,200,BCC,48,35
BD,,,0,6
BH,,,0,11
BH BY ARR,,,0,16
BLM 112,112,BLM,15,15
BLM LL105,LL105,BLM,30,30
BNW 124,124,BNW,40,40
BNW 127,127,BNW,38,38
BNW 128,128,BNW,25,25
BNW 129B,129B,BNW,24,30
BNW 130,130,BNW,20,20
BNW 131,131,BNW,64,64
BNW 133,133,BNW,25,25
BNW 136,136,BNW,10,10
BNW 137,137,BNW,32,37
BNW 138,138,BNW,37,37
BNW 139,139,BNW,40,42
BNW 143,143,BNW,12,12
BNW 144,144,BNW,15,15
BNW 162,162,BNW,25,25
BNW 163,163,BNW,20,20
BNW 166,166,BNW,35,35
BNW 236,236,BNW,25,25
BNW 238A,238A,BNW,16,16
BNW 239,238A,BNW,16,16
BNW 240,240,BNW,21,21
BNW 245,245,BNW,16,16
BNW 253,253,BNW,39,39
BNW 254,254,BNW,48,50
BNW 254A,254A,BNW,46,50
BNW 256,256,BNW,35,35
BNW 261,261,BNW,16,16
BNW 264,264,BNW,16,16
BNW 267,267,BNW,18,18
BNW 269,269,BNW,17,17
BNW 319,319,BNW,12,12
BNW 329,329,BNW,12,12
BNW 332,332,BNW,32,32
BNW 333,333,BNW,38,38
BNW 334,334,BNW,38,40
BNW 335,335,BNW,35,41
BNW 339,339,BNW,18,18
BNW 340,340,BNW,37,43
BNW 341,341,BNW,30,48
BNW 343,343,BNW,15,15
BNW 361,361,BNW,16,16
BNW 362,362,BNW,16,16
BNW 363,363,BNW,24,24
BNW 369,369,BNW,16,16
BNW 469,469,BNW,35,35
BNW GR22,GR22,BNW,32,43
BPS,,,0,10
BW,,,0,8
BY ARR,,,0,35
BY ARR X,,,0,30
CMC,,,0,6
CMP 313,313,CMP,27,27
CMP 413,413,CMP,27,27
CNS 1,1,CNS,50,50
CNS 10,10,CNS,30,35
CNS 101,101,CNS,24,35
CNS 103,103,CNS,0,35
CNS 104,104,CNS,26,35
CNS 106,106,CNS,26,30
CNS 108,108,CNS,24,35
CNS 15,15,CNS,24,36
CNS 2,2,CNS,24,35
CNS 200,200,CNS,20,35
CNS 202,202,CNS,42,35
CNS 203,203,CNS,24,35
CNS 204,204,CNS,24,30
CNS 206,206,CNS,26,30
CNS 207,207,CNS,23,23
CNS 207A,207A,CNS,15,15
CNS 208,208,CNS,26,30
CNS 209,209,CNS,24,35
CNS 301,301,CNS,36,32
CNS 303,303,CNS,28,35
CNS 304,304,CNS,48,32
CNS 305,305,CNS,28,35
CNS 306,306,CNS,22,30
CNS 5,5,CNS,32,32
CNS 6,6,CNS,35,35
CNS 8,6,CNS,25,25
CNS 9,9,CNS,30,35
CONF 104,9,DSB,30,30
CONF 1109A,9,DSB,15,25
DH,,,25,25
DLH 107,107,DLH,25,25
DMH 126,126,DMH,10,10
DMH 131,131,DMH,19,35
DMH 148,148,DMH,38,38
DMH 149,149,DMH,36,36
DMH 230,230,DMH,9,15
DMH 231,231,DMH,18,35
DMH 241,241,DMH,25,25
DMH 245,245,DMH,18,18
DMH 330,245,DMH,14,20
DMH 331,331,DMH,19,32
DMH 347,347,DMH,32,35
DMH 348,348,DMH,30,35
DMH 349,349,DMH,35,35
DMH 350,350,DMH,31,35
DSB 104,104,DSB,24,32
DSB 105,105,DSB,40,48
DSB 106,106,DSB,32,32
DSB 107,107,DSB,32,35
DSB 108,108,DSB,32,31
DSB 109,109,DSB,32,30
DSB 110,110,DSB,120,28
DSB 110A,110A,DSB,60,60
DSB 110B,110B,DSB,60,60
DSB 111,111,DSB,36,32
DSB 112,112,DSB,36,42
DSB 114,114,DSB,32,31
DSB 115,115,DSB,32,32
DSB 2109A,2109A,DSB,15,27
DSBN 101,101,DSBN,60,33
DSBN 105,105,DSBN,36,32
DSBN 106,106,DSBN,4,10
DSBN 110,110,DSBN,32,33
DSBN 111,111,DSBN,32,33
DSBN 112,112,DSBN,32,32
DSBN 113,113,DSBN,32,32
DSBN 115,115,DSBN,14,25
DSBN 201,201,DSBN,60,33
DSBN 202,202,DSBN,28,30
DSBN 204,204,DSBN,36,34
DSBN 206,206,DSBN,36,32
DSBN 212,212,DSBN,36,300
DSBN 215,215,DSBN,36,33
DSBN 216,216,DSBN,36,33
DSBN 217,217,DSBN,36,32
DSBN 218,218,DSBN,32,30
DSBN 301,301,DSBN,14,25
DSBN 362,362,DSBN,6,15
DSBN L03,L03,DSBN,36,33
DSBN L11,L11,DSBN,36,33
DW 173,173,DW,6,6
DW 371,371,DW,6,6
DW G101,G101,DW,10,10
DW G105,G105,DW,6,6
DW G108,G108,DW,8,8
DW G109,G109,DW,0,0
DW G111,G111,DW,20,20
EGN,,EGN,100,27
EGN COMM,COMM,EGN,35,35
EGN MCGRATH,MCGRATH,EGN,35,35
FBR,,FBR,27,27
FBR 1DR1,1DR1,FBR,35,35
FPS,,,0,10
GBMH,,,0,7
GNZ AUDI,AUDI,GNZ,100,100
GR,,,0,8
GRF,,,0,8
HSR,,,0,6
JGS 25,25,JGS,35,35
JGS LAB-A,LAB-A,JGS,12,12
JHE,,,0,10
KEL PRES,,,0,28
LCH,,,0,10
LNG 109,109,LNG,30,30
LUDLW,,,0,8
LYL 1,YL 1,LYL,18,18
LYL 145,145,LYL,28,28
LYL 2,YL 2,LYL,35,35
LYL 20,L 20,LYL,18,18
LYL 21,L 21,LYL,18,18
LYL 22,L 22,LYL,18,18
LYL 227B,227B,LYL,35,35
LYL 8,YL 8,LYL,24,24
MCA 101,101,MCA,0,0
MCA 102,102,MCA,56,50
MCA 107,107,MCA,24,48
MCA 112,112,MCA,24,24
MCA 113,112,MCA,30,30
MCA 202,202,MCA,60,60
MCA 203,203,MCA,14,14
MCA 204,204,MCA,30,60
MCA 206,206,MCA,28,60
MCK 101,101,MCK,35,35
MEDIA 106,101,MCK,18,18
MEDIA 107,101,MCK,18,18
MEDIA 110,101,MCK,15,15
MIL,101,MCK,8,8
MILY,,,0,10
NCRGUA,,,0,9
NHD,,,0,10
NHS 103,103,NHS,60,65
NHS 103/104,103/104,NHS,60,86
NHS 104,104,NHS,60,60
NHS 104A,104,NHS,3,25
NHS 201C,201C,NHS,15,15
NHS 203,203,NHS,64,65
NHS 204,204,NHS,72,71
NHS 205,205,NHS,60,60
NHS 208,208,NHS,12,20
NHS 210,210,NHS,49,49
NHS 224,224,NHS,98,93
NHS 301,301,NHS,10,10
NHS 308,308,NHS,60,60
NHS 403,403,NHS,30,48
NHS 403A,403A,NHS,8,20
NHS 404,404,NHS,48,49
NHS 405,405,NHS,30,36
NHS 405A,405A,NHS,8,18
NHS 407,407,NHS,30,30
NHS 410,410,NHS,32,42
NHS 411,411,NHS,24,50
NOR,,,0,24
NWG,,,0,10
NYS 101,101,NYS,86,80
NYS 106A,101,NYS,32,30
NYS 107C,107C,NYS,35,35
NYS 114,114,NYS,25,25
NYS 115,115,NYS,30,30
NYS 218,115,NYS,15,15
ONLINE,,,0,73
PTH DESIGN,DESIGN,PTH,10,10
PTH MAIN,MAIN,PTH,50,50
QCK SCENE,SCENE,QCK,12,12
RVNA,,,0,11
SHC,,,0,4
SILV,,,0,8
SON,,NHS,10,10
SON 118,118,NHS,20,20
SON 124,124,NHS,35,35
SON 203,203,NHS,91,91
SON 209,209,NHS,12,12
SON 212,212,NHS,21,21
SON 214,214,NHS,45,45
SON 217,217,NHS,40,40
SON ANNEX,,NHS,10,10
STAMH,,,0,20
STJ,,,0,9
STM,,,0,8
STV,,,0,10
STW,,,0,7
SWH 102,102,SWH,0,25
TBA,,,0,76
VA,,,0,10
WTBRY,,,0,6
XVR 13,13,XVR,25,25
XVR 15,13,XVR,20,20
XVR 5,5,XVR,27,27
XVR TV,,XVR,20,20
YAL,,,9,9